HID	PA
4352	0
4353	0
4354	0
4355	0
4356	0
4359	0
4360	0
4361	0
4362	0
4363	0
4400	0
4401	0
4402	0
4403	0
4404	1
4405	1
4406	1
4407	1
4411	1
4412	1
4413	1
4422	1
4433	0
4434	0
4435	0
4436	0
4437	0
4438	0
4441	0
4442	0
4443	0
4444	0
4445	0
4481	0
4482	0
4483	0
4484	1
4485	1
4486	1
4487	1
4488	1
4489	1
4492	1
4493	1
4494	1
4501	1
4502	1
4503	1
4505	1
4514	0
4515	0
4516	0
4517	0
4518	0
4522	0
4523	0
4524	0
4525	0
4562	0
4563	0
4564	0
4565	0
4566	1
4567	1
4568	1
4569	1
4570	1
4573	1
4574	1
4575	1
4576	1
4578	1
4584	1
4585	1
4586	1
4587	1
4595	0
4596	1
4597	0
4598	0
4599	0
4600	0
4603	0
4604	0
4605	0
4606	0
4644	0
4645	0
4646	0
4647	1
4648	1
4649	1
4650	1
4651	1
4652	1
4655	1
4656	1
4657	1
4658	1
4659	1
4665	1
4666	1
4667	1
4668	1
4677	1
4678	0
4679	0
4680	0
4681	0
4685	0
4686	0
4687	0
4688	0
4724	0
4725	0
4726	0
4727	1
4728	1
4729	1
4730	1
4731	1
4732	1
4733	1
4736	1
4737	1
4738	1
4739	1
4742	1
4743	1
4746	1
4747	1
4748	1
4749	1
4758	1
4759	0
4760	0
4761	0
4762	0
4766	0
4767	0
4768	0
4806	0
4807	0
4808	0
4809	1
4810	1
4811	1
4812	1
4813	1
4814	1
4818	1
4819	1
4821	1
4824	1
4826	1
4829	1
4830	1
4840	1
4841	0
4842	0
4843	0
4844	0
4848	0
4849	0
4850	0
4887	0
4888	0
4889	0
4890	0
4891	1
4892	1
4893	1
4894	1
4895	1
4896	1
4898	1
4900	1
4901	1
4902	1
4904	1
4905	1
4907	1
4908	1
4922	1
4923	0
4924	0
4925	0
4926	0
4930	0
4931	0
4968	0
4969	0
4970	0
4971	1
4972	1
4973	1
4974	1
4975	1
4976	1
4977	1
4978	1
4979	1
4980	1
4981	1
4982	1
4983	1
4985	1
4986	1
4988	1
5002	1
5003	0
5004	0
5005	0
5006	0
5007	0
5011	0
5012	0
5049	0
5050	0
5051	0
5052	0
5053	1
5054	1
5055	1
5056	1
5057	1
5058	1
5060	1
5061	1
5062	1
5063	1
5064	1
5067	1
5069	1
5070	1
5072	0
5084	1
5085	0
5086	0
5087	0
5088	0
5089	0
5093	0
5131	0
5132	0
5133	0
5134	0
5135	1
5136	1
5137	1
5138	1
5139	1
5140	1
5142	1
5143	1
5144	1
5145	1
5146	1
5148	1
5149	1
5150	1
5151	1
5153	0
5165	1
5167	0
5168	0
5169	0
5170	0
5171	0
5211	0
5212	0
5213	0
5214	0
5215	0
5216	1
5217	1
5218	1
